datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2026-04-16 09:15:00,205.1,NFO,21-APR-2026,211.1,191.65,211.1,502255,Options,Put,NIFTY,24350.0,819130
2026-04-16 09:16:00,203.3,NFO,21-APR-2026,209.55,200.85,205.85,502255,Options,Put,NIFTY,24350.0,572455
2026-04-16 09:17:00,194.0,NFO,21-APR-2026,202.65,193.95,202.65,502255,Options,Put,NIFTY,24350.0,480935
2026-04-16 09:18:00,190.7,NFO,21-APR-2026,198.25,190.7,194.6,1202955,Options,Put,NIFTY,24350.0,562705
2026-04-16 09:19:00,183.55,NFO,21-APR-2026,190.1,183.55,190.0,1202955,Options,Put,NIFTY,24350.0,492505
2026-04-16 09:20:00,184.6,NFO,21-APR-2026,185.8,179.6,183.65,1202955,Options,Put,NIFTY,24350.0,430885
2026-04-16 09:21:00,184.05,NFO,21-APR-2026,186.35,182.55,183.5,1651845,Options,Put,NIFTY,24350.0,322985
2026-04-16 09:22:00,182.85,NFO,21-APR-2026,187.0,181.7,184.35,1651845,Options,Put,NIFTY,24350.0,343850
2026-04-16 09:23:00,182.5,NFO,21-APR-2026,186.35,181.35,182.9,1651845,Options,Put,NIFTY,24350.0,339950
2026-04-16 09:24:00,178.6,NFO,21-APR-2026,187.7,177.25,182.65,2172300,Options,Put,NIFTY,24350.0,572455
2026-04-16 09:25:00,176.4,NFO,21-APR-2026,178.25,172.05,178.25,2172300,Options,Put,NIFTY,24350.0,570700
2026-04-16 09:26:00,176.4,NFO,21-APR-2026,178.5,174.0,176.95,2172300,Options,Put,NIFTY,24350.0,342160
2026-04-16 09:27:00,178.25,NFO,21-APR-2026,178.8,172.0,176.65,2428335,Options,Put,NIFTY,24350.0,230685
2026-04-16 09:28:00,175.2,NFO,21-APR-2026,181.0,175.2,178.8,2428335,Options,Put,NIFTY,24350.0,282945
2026-04-16 09:29:00,178.9,NFO,21-APR-2026,179.55,172.7,175.25,2428335,Options,Put,NIFTY,24350.0,164905
2026-04-16 09:30:00,177.3,NFO,21-APR-2026,179.05,174.4,178.5,2555930,Options,Put,NIFTY,24350.0,152035
2026-04-16 09:31:00,183.15,NFO,21-APR-2026,183.6,177.05,177.45,2555930,Options,Put,NIFTY,24350.0,301600
2026-04-16 09:32:00,189.8,NFO,21-APR-2026,189.8,182.65,183.5,2555930,Options,Put,NIFTY,24350.0,632190
2026-04-16 09:33:00,189.85,NFO,21-APR-2026,192.8,188.6,190.5,2629120,Options,Put,NIFTY,24350.0,849355
2026-04-16 09:34:00,190.5,NFO,21-APR-2026,194.0,190.05,190.5,2629120,Options,Put,NIFTY,24350.0,480025
2026-04-16 09:35:00,194.1,NFO,21-APR-2026,195.1,190.25,190.4,2629120,Options,Put,NIFTY,24350.0,586495
2026-04-16 09:36:00,195.0,NFO,21-APR-2026,196.5,190.15,194.0,2629120,Options,Put,NIFTY,24350.0,497575
2026-04-16 09:37:00,204.1,NFO,21-APR-2026,204.75,194.85,194.85,2567500,Options,Put,NIFTY,24350.0,1045070
2026-04-16 09:38:00,217.2,NFO,21-APR-2026,219.75,203.6,203.95,2567500,Options,Put,NIFTY,24350.0,1441570
2026-04-16 09:39:00,207.7,NFO,21-APR-2026,220.85,207.35,217.25,2567500,Options,Put,NIFTY,24350.0,901680
2026-04-16 09:40:00,220.9,NFO,21-APR-2026,221.35,205.6,207.0,2281110,Options,Put,NIFTY,24350.0,641030
2026-04-16 09:41:00,221.35,NFO,21-APR-2026,224.0,217.15,220.9,2281110,Options,Put,NIFTY,24350.0,637715
2026-04-16 09:42:00,221.6,NFO,21-APR-2026,225.0,216.85,222.0,2281110,Options,Put,NIFTY,24350.0,439790
2026-04-16 09:43:00,222.7,NFO,21-APR-2026,226.0,218.8,220.9,2330705,Options,Put,NIFTY,24350.0,330720
2026-04-16 09:44:00,226.45,NFO,21-APR-2026,226.45,220.45,222.0,2330705,Options,Put,NIFTY,24350.0,278265
2026-04-16 09:45:00,223.9,NFO,21-APR-2026,231.75,223.9,226.0,2330705,Options,Put,NIFTY,24350.0,620100
2026-04-16 09:46:00,212.45,NFO,21-APR-2026,224.0,211.75,223.7,2117505,Options,Put,NIFTY,24350.0,441935
