datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2026-05-15 09:15:00,129.7,NFO,19-MAY-2026,133.85,88.0,91.95,4008290,Options,Put,NIFTY,23600.0,2228980
2026-05-15 09:16:00,116.8,NFO,19-MAY-2026,140.5,116.8,131.5,4636710,Options,Put,NIFTY,23600.0,2086890
2026-05-15 09:17:00,117.85,NFO,19-MAY-2026,122.7,112.0,120.5,5194215,Options,Put,NIFTY,23600.0,1354730
2026-05-15 09:18:00,114.0,NFO,19-MAY-2026,120.75,108.6,118.4,5454995,Options,Put,NIFTY,23600.0,1362205
2026-05-15 09:19:00,118.45,NFO,19-MAY-2026,119.9,113.15,114.55,5714735,Options,Put,NIFTY,23600.0,774345
2026-05-15 09:20:00,118.75,NFO,19-MAY-2026,121.45,113.45,120.0,5723315,Options,Put,NIFTY,23600.0,872560
2026-05-15 09:21:00,120.9,NFO,19-MAY-2026,121.0,112.3,117.95,5852990,Options,Put,NIFTY,23600.0,727350
2026-05-15 09:22:00,115.0,NFO,19-MAY-2026,125.15,110.2,121.55,5990335,Options,Put,NIFTY,23600.0,963105
2026-05-15 09:23:00,112.15,NFO,19-MAY-2026,117.6,112.15,114.85,6103955,Options,Put,NIFTY,23600.0,453895
2026-05-15 09:24:00,109.5,NFO,19-MAY-2026,113.0,107.55,112.6,6232720,Options,Put,NIFTY,23600.0,762125
2026-05-15 09:25:00,111.8,NFO,19-MAY-2026,111.8,107.0,109.0,6435910,Options,Put,NIFTY,23600.0,628420
2026-05-15 09:26:00,108.85,NFO,19-MAY-2026,114.0,108.2,112.05,6550375,Options,Put,NIFTY,23600.0,646815
2026-05-15 09:27:00,100.75,NFO,19-MAY-2026,109.4,100.2,109.4,6616415,Options,Put,NIFTY,23600.0,952835
2026-05-15 09:28:00,100.05,NFO,19-MAY-2026,102.8,99.45,100.5,6726005,Options,Put,NIFTY,23600.0,763295
2026-05-15 09:29:00,101.6,NFO,19-MAY-2026,102.55,98.35,100.35,6964880,Options,Put,NIFTY,23600.0,517855
