datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2026-04-27 09:15:00,108.9,NFO,28-APR-2026,125.5,99.4,110.0,4947410,Options,Call,NIFTY,24100.0,2938195
2026-04-27 09:16:00,101.6,NFO,28-APR-2026,118.9,99.8,105.0,5598905,Options,Call,NIFTY,24100.0,2903420
2026-04-27 09:17:00,89.3,NFO,28-APR-2026,102.65,88.55,102.65,5598905,Options,Call,NIFTY,24100.0,2158065
2026-04-27 09:18:00,97.15,NFO,28-APR-2026,100.0,89.1,89.1,5598905,Options,Call,NIFTY,24100.0,1884480
2026-04-27 09:19:00,96.4,NFO,28-APR-2026,99.6,89.5,97.55,7165470,Options,Call,NIFTY,24100.0,1413425
2026-04-27 09:20:00,100.9,NFO,28-APR-2026,101.9,96.8,98.0,7165470,Options,Call,NIFTY,24100.0,1704885
2026-04-27 09:21:00,111.1,NFO,28-APR-2026,111.85,102.0,102.2,7165470,Options,Call,NIFTY,24100.0,2714010
2026-04-27 09:22:00,110.55,NFO,28-APR-2026,114.35,106.55,111.45,8002215,Options,Call,NIFTY,24100.0,2374320
2026-04-27 09:23:00,103.1,NFO,28-APR-2026,110.45,102.5,110.45,8002215,Options,Call,NIFTY,24100.0,1791855
2026-04-27 09:24:00,103.5,NFO,28-APR-2026,106.0,100.0,102.0,8002215,Options,Call,NIFTY,24100.0,1552720
2026-04-27 09:25:00,107.35,NFO,28-APR-2026,112.35,102.1,102.6,8887515,Options,Call,NIFTY,24100.0,2013115
2026-04-27 09:26:00,98.15,NFO,28-APR-2026,108.45,94.8,107.9,8887515,Options,Call,NIFTY,24100.0,2046135
2026-04-27 09:27:00,106.15,NFO,28-APR-2026,108.2,95.8,96.45,8887515,Options,Call,NIFTY,24100.0,1872195
2026-04-27 09:28:00,107.45,NFO,28-APR-2026,110.1,104.7,105.35,9668295,Options,Call,NIFTY,24100.0,1707615
2026-04-27 09:29:00,100.6,NFO,28-APR-2026,106.85,96.75,106.85,9668295,Options,Call,NIFTY,24100.0,1638455
2026-04-27 09:30:00,99.7,NFO,28-APR-2026,105.25,96.85,101.3,9668295,Options,Call,NIFTY,24100.0,1347710
2026-04-27 09:31:00,103.35,NFO,28-APR-2026,103.85,98.35,98.5,10438480,Options,Call,NIFTY,24100.0,703040
2026-04-27 09:32:00,94.4,NFO,28-APR-2026,104.75,93.65,103.2,10438480,Options,Call,NIFTY,24100.0,1721005
2026-04-27 09:33:00,89.05,NFO,28-APR-2026,93.75,86.45,93.4,10438480,Options,Call,NIFTY,24100.0,2478385
2026-04-27 09:34:00,83.0,NFO,28-APR-2026,93.75,82.0,89.05,10888345,Options,Call,NIFTY,24100.0,1956630
2026-04-27 09:35:00,88.8,NFO,28-APR-2026,91.7,82.4,83.3,10888345,Options,Call,NIFTY,24100.0,1473745
2026-04-27 09:36:00,90.5,NFO,28-APR-2026,93.75,88.2,88.45,10888345,Options,Call,NIFTY,24100.0,1268345
2026-04-27 09:37:00,87.95,NFO,28-APR-2026,91.15,85.85,90.4,11472175,Options,Call,NIFTY,24100.0,948155
2026-04-27 09:38:00,84.25,NFO,28-APR-2026,86.55,79.5,86.55,11472175,Options,Call,NIFTY,24100.0,2181855
2026-04-27 09:39:00,82.35,NFO,28-APR-2026,88.45,81.35,84.0,11472175,Options,Call,NIFTY,24100.0,1205880
2026-04-27 09:40:00,88.9,NFO,28-APR-2026,89.0,82.95,83.1,11754275,Options,Call,NIFTY,24100.0,917215
2026-04-27 09:41:00,86.35,NFO,28-APR-2026,91.95,85.85,87.7,11754275,Options,Call,NIFTY,24100.0,1305590
2026-04-27 09:42:00,86.2,NFO,28-APR-2026,89.05,83.7,86.2,11754275,Options,Call,NIFTY,24100.0,655720
2026-04-27 09:43:00,95.1,NFO,28-APR-2026,95.6,83.75,85.85,11881025,Options,Call,NIFTY,24100.0,1161420
2026-04-27 09:44:00,98.1,NFO,28-APR-2026,99.0,91.7,95.25,11881025,Options,Call,NIFTY,24100.0,1794000
2026-04-27 09:45:00,106.0,NFO,28-APR-2026,106.8,98.0,98.0,11881025,Options,Call,NIFTY,24100.0,2860910
2026-04-27 09:46:00,107.85,NFO,28-APR-2026,110.55,104.9,105.9,11739520,Options,Call,NIFTY,24100.0,2705170
2026-04-27 09:47:00,105.9,NFO,28-APR-2026,108.0,103.25,108.0,11739520,Options,Call,NIFTY,24100.0,1756170
2026-04-27 09:48:00,112.65,NFO,28-APR-2026,116.4,104.2,107.0,11739520,Options,Call,NIFTY,24100.0,3087630
2026-04-27 09:49:00,113.6,NFO,28-APR-2026,115.55,109.9,113.15,11474775,Options,Call,NIFTY,24100.0,2359955
2026-04-27 09:50:00,118.25,NFO,28-APR-2026,120.0,112.35,113.0,11474775,Options,Call,NIFTY,24100.0,3122470
2026-04-27 09:51:00,117.25,NFO,28-APR-2026,119.85,114.65,119.75,11474775,Options,Call,NIFTY,24100.0,1965535
2026-04-27 09:52:00,120.65,NFO,28-APR-2026,122.4,114.15,116.85,11089195,Options,Call,NIFTY,24100.0,2086500
2026-04-27 09:53:00,120.3,NFO,28-APR-2026,121.2,112.0,120.85,11089195,Options,Call,NIFTY,24100.0,2129790
2026-04-27 09:54:00,121.8,NFO,28-APR-2026,123.25,116.55,120.35,11089195,Options,Call,NIFTY,24100.0,1677845
2026-04-27 09:55:00,119.4,NFO,28-APR-2026,123.25,118.55,121.65,10840635,Options,Call,NIFTY,24100.0,1719510
2026-04-27 09:56:00,120.35,NFO,28-APR-2026,123.7,119.2,119.2,10840635,Options,Call,NIFTY,24100.0,1419210
2026-04-27 09:57:00,122.85,NFO,28-APR-2026,122.85,116.8,120.2,10840635,Options,Call,NIFTY,24100.0,1145495
2026-04-27 09:58:00,123.35,NFO,28-APR-2026,126.15,120.2,122.2,10911550,Options,Call,NIFTY,24100.0,1828970
2026-04-27 09:59:00,120.45,NFO,28-APR-2026,124.2,119.4,123.6,10911550,Options,Call,NIFTY,24100.0,1380275
2026-04-27 10:00:00,118.95,NFO,28-APR-2026,121.45,116.7,120.15,10911550,Options,Call,NIFTY,24100.0,1206920
2026-04-27 10:01:00,120.4,NFO,28-APR-2026,123.0,113.75,118.35,10489310,Options,Call,NIFTY,24100.0,1849575
2026-04-27 10:02:00,119.65,NFO,28-APR-2026,120.6,115.4,119.9,10489310,Options,Call,NIFTY,24100.0,876525
2026-04-27 10:03:00,118.4,NFO,28-APR-2026,119.95,115.7,119.7,10489310,Options,Call,NIFTY,24100.0,568425
2026-04-27 10:04:00,107.25,NFO,28-APR-2026,118.6,107.25,118.6,10677225,Options,Call,NIFTY,24100.0,1837810
2026-04-27 10:05:00,108.6,NFO,28-APR-2026,108.8,104.75,107.4,10677225,Options,Call,NIFTY,24100.0,1730430
2026-04-27 10:06:00,111.25,NFO,28-APR-2026,111.25,103.25,108.15,10677225,Options,Call,NIFTY,24100.0,1533610
2026-04-27 10:07:00,111.5,NFO,28-APR-2026,117.85,110.15,112.5,11323000,Options,Call,NIFTY,24100.0,2305290
2026-04-27 10:08:00,114.05,NFO,28-APR-2026,116.55,111.35,111.9,11323000,Options,Call,NIFTY,24100.0,981305
2026-04-27 10:09:00,111.1,NFO,28-APR-2026,115.0,109.1,115.0,11323000,Options,Call,NIFTY,24100.0,990860
2026-04-27 10:10:00,111.2,NFO,28-APR-2026,113.1,108.0,111.4,11691095,Options,Call,NIFTY,24100.0,816205
2026-04-27 10:11:00,114.9,NFO,28-APR-2026,116.4,108.4,111.4,11691095,Options,Call,NIFTY,24100.0,1085630
2026-04-27 10:12:00,113.65,NFO,28-APR-2026,116.85,112.95,114.65,11691095,Options,Call,NIFTY,24100.0,972075
2026-04-27 10:13:00,104.1,NFO,28-APR-2026,114.4,104.1,114.1,11924380,Options,Call,NIFTY,24100.0,1434160
2026-04-27 10:14:00,101.4,NFO,28-APR-2026,106.65,100.15,104.45,11924380,Options,Call,NIFTY,24100.0,1675960
2026-04-27 10:15:00,114.5,NFO,28-APR-2026,114.9,101.95,102.35,11924380,Options,Call,NIFTY,24100.0,1991860
