datetime,close,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
2026-05-18 09:15:00,175.05,NFO,19-MAY-2026,177.3,135.2,138.05,7436260,Options,Put,NIFTY,23500.0,5161130
2026-05-18 09:16:00,186.3,NFO,19-MAY-2026,195.75,174.65,174.65,7974330,Options,Put,NIFTY,23500.0,3549520
2026-05-18 09:17:00,189.75,NFO,19-MAY-2026,195.6,187.7,189.6,7979660,Options,Put,NIFTY,23500.0,1614665
2026-05-18 09:18:00,188.5,NFO,19-MAY-2026,191.2,183.95,191.1,8207615,Options,Put,NIFTY,23500.0,1373060
2026-05-18 09:19:00,184.35,NFO,19-MAY-2026,189.7,181.35,186.75,8426795,Options,Put,NIFTY,23500.0,1081665
2026-05-18 09:20:00,187.65,NFO,19-MAY-2026,195.0,183.15,185.4,8697000,Options,Put,NIFTY,23500.0,1664650
2026-05-18 09:21:00,184.45,NFO,19-MAY-2026,189.65,178.8,187.3,8827195,Options,Put,NIFTY,23500.0,1334320
2026-05-18 09:22:00,193.05,NFO,19-MAY-2026,194.6,182.6,183.25,9092655,Options,Put,NIFTY,23500.0,1240720
2026-05-18 09:23:00,184.6,NFO,19-MAY-2026,193.6,182.8,192.0,9188725,Options,Put,NIFTY,23500.0,961610
2026-05-18 09:24:00,189.55,NFO,19-MAY-2026,191.1,183.85,184.1,9366630,Options,Put,NIFTY,23500.0,1083745
2026-05-18 09:25:00,190.6,NFO,19-MAY-2026,192.45,186.15,188.1,9821890,Options,Put,NIFTY,23500.0,601900
2026-05-18 09:26:00,195.65,NFO,19-MAY-2026,202.25,188.9,190.5,9632675,Options,Put,NIFTY,23500.0,2175355
2026-05-18 09:27:00,195.9,NFO,19-MAY-2026,199.4,191.05,194.05,9382750,Options,Put,NIFTY,23500.0,787540
2026-05-18 09:28:00,202.2,NFO,19-MAY-2026,203.2,196.3,196.3,9454185,Options,Put,NIFTY,23500.0,1106235
2026-05-18 09:29:00,200.6,NFO,19-MAY-2026,210.6,200.05,202.65,9337835,Options,Put,NIFTY,23500.0,1994655
2026-05-18 09:30:00,200.9,NFO,19-MAY-2026,203.9,196.15,200.7,8565440,Options,Put,NIFTY,23500.0,1630395
2026-05-18 09:31:00,208.05,NFO,19-MAY-2026,208.7,197.7,199.8,8616530,Options,Put,NIFTY,23500.0,1003015
2026-05-18 09:32:00,198.05,NFO,19-MAY-2026,210.1,197.65,207.75,8658715,Options,Put,NIFTY,23500.0,984360
2026-05-18 09:33:00,193.3,NFO,19-MAY-2026,199.35,187.4,199.35,8572200,Options,Put,NIFTY,23500.0,1254695
2026-05-18 09:34:00,194.3,NFO,19-MAY-2026,200.45,191.0,195.0,8699925,Options,Put,NIFTY,23500.0,912925
2026-05-18 09:35:00,199.3,NFO,19-MAY-2026,200.45,188.6,195.45,8745100,Options,Put,NIFTY,23500.0,652340
2026-05-18 09:36:00,192.45,NFO,19-MAY-2026,205.85,192.4,200.05,8846695,Options,Put,NIFTY,23500.0,1008605
2026-05-18 09:37:00,203.65,NFO,19-MAY-2026,203.8,193.85,193.85,8736260,Options,Put,NIFTY,23500.0,463710
2026-05-18 09:38:00,209.95,NFO,19-MAY-2026,211.95,203.1,203.6,8684325,Options,Put,NIFTY,23500.0,1187420
2026-05-18 09:39:00,208.05,NFO,19-MAY-2026,215.8,206.95,211.45,8535865,Options,Put,NIFTY,23500.0,1310790
2026-05-18 09:40:00,207.1,NFO,19-MAY-2026,210.5,203.55,209.1,8313110,Options,Put,NIFTY,23500.0,612300
2026-05-18 09:41:00,213.4,NFO,19-MAY-2026,214.45,204.4,207.4,8346325,Options,Put,NIFTY,23500.0,499005
2026-05-18 09:42:00,197.65,NFO,19-MAY-2026,215.0,196.2,213.15,8338980,Options,Put,NIFTY,23500.0,860730
2026-05-18 09:43:00,196.2,NFO,19-MAY-2026,202.2,195.8,198.1,8278465,Options,Put,NIFTY,23500.0,583505
2026-05-18 09:44:00,202.55,NFO,19-MAY-2026,204.5,193.5,197.8,8427965,Options,Put,NIFTY,23500.0,609700
2026-05-18 09:45:00,200.0,NFO,19-MAY-2026,210.5,199.55,202.3,8474505,Options,Put,NIFTY,23500.0,770055
2026-05-18 09:46:00,203.55,NFO,19-MAY-2026,204.45,197.85,200.25,8448635,Options,Put,NIFTY,23500.0,355355
2026-05-18 09:47:00,210.65,NFO,19-MAY-2026,211.4,203.25,204.3,8491405,Options,Put,NIFTY,23500.0,641680
2026-05-18 09:48:00,211.95,NFO,19-MAY-2026,218.9,210.85,212.15,8391760,Options,Put,NIFTY,23500.0,1019460
2026-05-18 09:49:00,217.5,NFO,19-MAY-2026,217.5,211.25,212.05,8224255,Options,Put,NIFTY,23500.0,520845
2026-05-18 09:50:00,222.1,NFO,19-MAY-2026,224.3,215.2,219.0,8142550,Options,Put,NIFTY,23500.0,987610
2026-05-18 09:51:00,215.5,NFO,19-MAY-2026,222.85,213.4,221.75,7936565,Options,Put,NIFTY,23500.0,744965
2026-05-18 09:52:00,218.65,NFO,19-MAY-2026,219.2,212.55,214.7,7910240,Options,Put,NIFTY,23500.0,389610
2026-05-18 09:53:00,226.95,NFO,19-MAY-2026,227.95,218.5,218.5,7950930,Options,Put,NIFTY,23500.0,879255
2026-05-18 09:54:00,224.4,NFO,19-MAY-2026,228.9,223.5,228.9,7654920,Options,Put,NIFTY,23500.0,517140
2026-05-18 09:55:00,218.8,NFO,19-MAY-2026,228.9,218.5,225.3,7638995,Options,Put,NIFTY,23500.0,622505
2026-05-18 09:56:00,222.0,NFO,19-MAY-2026,223.8,218.05,218.05,7571330,Options,Put,NIFTY,23500.0,303095
2026-05-18 09:57:00,228.1,NFO,19-MAY-2026,234.0,221.7,221.7,7562165,Options,Put,NIFTY,23500.0,545610
2026-05-18 09:58:00,225.95,NFO,19-MAY-2026,229.2,225.0,227.4,7332650,Options,Put,NIFTY,23500.0,374075
2026-05-18 09:59:00,216.5,NFO,19-MAY-2026,226.45,214.55,226.25,7391540,Options,Put,NIFTY,23500.0,534560
2026-05-18 10:00:00,216.45,NFO,19-MAY-2026,217.95,211.7,216.5,7380425,Options,Put,NIFTY,23500.0,435695
2026-05-18 10:01:00,212.1,NFO,19-MAY-2026,217.0,210.6,215.7,7423455,Options,Put,NIFTY,23500.0,276770
2026-05-18 10:02:00,203.6,NFO,19-MAY-2026,215.9,202.55,211.05,7462065,Options,Put,NIFTY,23500.0,491855
2026-05-18 10:03:00,207.1,NFO,19-MAY-2026,207.9,202.25,202.85,7561710,Options,Put,NIFTY,23500.0,470925
2026-05-18 10:04:00,204.55,NFO,19-MAY-2026,208.0,203.4,206.8,7618780,Options,Put,NIFTY,23500.0,286585
2026-05-18 10:05:00,205.1,NFO,19-MAY-2026,208.75,202.0,204.15,7686965,Options,Put,NIFTY,23500.0,276510
